epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,101.026,1.49035,1.32166,1.17123,1.97443,0.71219,1,0.97833,0.48157,0.71219,1,0.97833,0.52741,1.12645,0.68441,0.8878,1.67047,0.000801406,0.000801406,0.000801406
31,104.284,1.37899,1.15485,1.10995,1.86209,0.7712,1,0.97833,0.47709,0.7712,1,0.97833,0.51324,1.09482,0.67041,0.86307,1.66403,0.000785938,0.000785938,0.000785938
32,107.615,1.40672,1.22876,1.06104,1.79067,0.67595,1,0.80139,0.44021,0.73934,0.93312,0.96722,0.47813,0.99937,0.67902,0.81559,1.62171,0.000770469,0.000770469,0.000770469
33,110.944,1.43952,1.33529,1.06424,1.83119,0.63495,0.99414,0.79345,0.44537,0.67519,0.95509,0.95929,0.48038,1.05875,0.68523,0.809,1.60249,0.000755,0.000755,0.000755
34,114.262,1.40273,1.24684,1.01543,1.77939,0.59221,0.91667,0.7875,0.47824,0.63523,0.91667,0.95333,0.50194,1.01109,0.67653,0.77534,1.58148,0.000739531,0.000739531,0.000739531
35,117.641,1.3135,1.17084,0.99593,1.73065,0.70594,0.91463,0.78287,0.51287,0.74232,0.9144,0.9487,0.51769,0.92778,0.67292,0.78783,1.57474,0.000724062,0.000724062,0.000724062
36,120.908,1.35621,1.09441,1.06554,1.80126,0.71957,0.84431,0.92417,0.53545,0.71957,0.84431,0.92417,0.51656,0.9084,0.67232,0.81824,1.57551,0.000708594,0.000708594,0.000708594
37,124.156,1.39617,1.20932,1.04806,1.77582,0.85705,0.90721,0.94197,0.57654,0.85705,0.90721,0.94197,0.57106,0.92085,0.66333,0.83237,1.57597,0.000693125,0.000693125,0.000693125
38,127.599,1.31671,1.20847,1.03223,1.72912,0.77153,0.90913,0.93944,0.5895,0.77153,0.90913,0.93944,0.59876,0.98132,0.66612,0.87207,1.59166,0.000677656,0.000677656,0.000677656
39,130.945,1.29831,1.08839,1.00381,1.70866,0.73967,0.91667,0.92114,0.54195,0.73967,0.91667,0.92114,0.56803,0.94843,0.7066,0.81743,1.57878,0.000662188,0.000662188,0.000662188
40,134.323,1.34194,1.11096,1.00035,1.75153,0.7537,0.91667,0.92787,0.51374,0.7537,0.91667,0.92787,0.55583,0.95505,0.73659,0.76231,1.57829,0.000646719,0.000646719,0.000646719
41,137.639,1.36325,1.15783,0.98,1.72541,0.84519,0.86216,0.96722,0.52016,0.84519,0.86216,0.96722,0.57451,0.97925,0.73226,0.73515,1.56214,0.00063125,0.00063125,0.00063125
