epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,100.252,2.35931,1.89069,1.97489,2.99071,0.23891,0.51111,0.1501,0.03737,0.21956,0.42778,0.46964,0.06886,3.96953,2.81456,3.34101,3.69495,0.00053225,0.00053225,0.00053225
31,103.497,2.28432,1.69658,1.8685,2.82406,0.25841,0.53333,0.55487,0.11665,0.71814,0.18882,0.5463,0.12962,3.49901,2.26187,2.59833,3.43497,0.0005075,0.0005075,0.0005075
32,106.805,2.34257,1.78542,1.87033,2.75961,0.54243,0.49737,0.57497,0.19925,0.53368,0.41667,0.60995,0.22752,2.70847,1.87522,2.17172,3.21624,0.00048275,0.00048275,0.00048275
33,110.099,2.32398,1.84344,1.86032,2.7878,0.54859,0.43633,0.43395,0.18061,0.54981,0.43378,0.63714,0.20975,2.3307,1.70111,1.95739,3.11465,0.000458,0.000458,0.000458
34,113.377,2.2162,1.73945,1.7737,2.70429,0.58802,0.42778,0.45852,0.17428,0.56797,0.43889,0.50764,0.20354,2.38787,1.53312,1.92146,3.08773,0.00043325,0.00043325,0.00043325
35,116.671,2.12514,1.69887,1.67911,2.63178,0.60332,0.47222,0.36592,0.16151,0.61688,0.55556,0.43908,0.19522,2.25569,1.23421,1.80947,2.97131,0.0004085,0.0004085,0.0004085
36,119.938,2.08171,1.48068,1.7852,2.69789,0.63507,0.53333,0.42972,0.1563,0.63507,0.53333,0.49117,0.20487,2.27016,1.0149,1.73542,2.89241,0.00038375,0.00038375,0.00038375
37,123.209,2.18011,1.71932,1.76433,2.6811,0.65789,0.54452,0.47297,0.17407,0.65789,0.54452,0.49304,0.21285,2.14921,0.96705,1.70347,2.80869,0.000359,0.000359,0.000359
38,126.477,2.10713,1.67716,1.73577,2.60962,0.37512,0.62222,0.46976,0.19981,0.37512,0.62222,0.51604,0.24464,1.90331,0.92756,1.60109,2.71042,0.00033425,0.00033425,0.00033425
39,129.771,2.09665,1.62188,1.67472,2.6087,0.33931,0.47778,0.4942,0.22682,0.33819,0.64444,0.51429,0.26504,1.75763,0.89264,1.52303,2.62087,0.0003095,0.0003095,0.0003095
40,133.147,2.07788,1.57525,1.65699,2.60415,0.5081,0.37043,0.48848,0.22934,0.5081,0.37043,0.5099,0.28259,1.78508,0.85734,1.52035,2.61339,0.00028475,0.00028475,0.00028475
41,157.69,1.85484,1.54394,1.96461,2.32607,0.47726,0.35999,0.49144,0.23328,0.40808,0.44011,0.51217,0.28463,1.87512,0.85424,1.54709,2.59726,0.00026,0.00026,0.00026
42,161.001,1.77888,1.35709,1.76818,2.32368,0.37054,0.82235,0.49544,0.22168,0.43489,0.73516,0.50562,0.26341,1.97736,0.88471,1.65342,2.58391,0.00023525,0.00023525,0.00023525
43,164.175,1.79905,1.36341,1.64197,2.4008,0.40131,0.87279,0.50485,0.23803,0.40111,0.7832,0.51012,0.27238,1.87406,0.89112,1.6776,2.50906,0.0002105,0.0002105,0.0002105
44,167.387,1.83091,1.25456,1.69092,2.46048,0.3865,0.78676,0.51942,0.27542,0.45862,0.73345,0.52755,0.32198,1.69562,0.85281,1.57516,2.41644,0.00018575,0.00018575,0.00018575
45,170.62,1.84498,1.34813,1.67115,2.4417,0.52037,0.38809,0.51134,0.29109,0.52422,0.74325,0.52491,0.34604,1.62703,0.80743,1.43094,2.3468,0.000161,0.000161,0.000161
46,173.925,1.8114,1.36022,1.66354,2.48214,0.51822,0.42804,0.51261,0.29805,0.51822,0.42804,0.51754,0.34136,1.60552,0.77802,1.31347,2.3073,0.00013625,0.00013625,0.00013625
47,177.139,1.79478,1.3501,1.62287,2.40859,0.52295,0.46371,0.51594,0.30927,0.50735,0.47543,0.52778,0.35264,1.5568,0.75515,1.23136,2.25955,0.0001115,0.0001115,0.0001115
48,180.373,1.72787,1.49659,1.58031,2.2783,0.53811,0.47778,0.51506,0.3229,0.50885,0.47778,0.5344,0.36226,1.48816,0.73962,1.1584,2.22779,8.675e-05,8.675e-05,8.675e-05
49,183.564,1.75996,1.38839,1.57488,2.3595,0.54743,0.47656,0.51984,0.33149,0.50947,0.48889,0.54288,0.36222,1.42855,0.72611,1.10655,2.20372,6.2e-05,6.2e-05,6.2e-05
50,186.776,1.75173,1.31293,1.52692,2.36971,0.55215,0.48732,0.52283,0.33818,0.51828,0.53624,0.55047,0.35793,1.38846,0.71969,1.08056,2.19051,3.725e-05,3.725e-05,3.725e-05
