epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,388.532,2.25077,1.81157,1.92805,2.78909,0.07507,0.37222,0.13742,0.03407,0.07507,0.37222,0.2318,0.05649,3.86596,4.06478,12.7777,4.23725,0.000801406,0.000801406,0.000801406
31,401.006,2.19542,1.61363,1.85232,2.61378,0.24994,0.28792,0.19424,0.09563,0.2526,0.3706,0.26859,0.1012,2.91827,2.9936,11.2013,3.65762,0.000785938,0.000785938,0.000785938
32,411.5,2.16386,1.75162,1.72998,2.51596,0.23381,0.3333,0.2061,0.12991,0.23638,0.41462,0.32062,0.12842,2.31958,2.6484,10.4123,3.52351,0.000770469,0.000770469,0.000770469
33,422.154,2.25204,1.78452,1.76728,2.58619,0.20259,0.31111,0.18097,0.10566,0.1892,0.31111,0.26575,0.11898,2.62115,2.58361,11.1182,3.6998,0.000755,0.000755,0.000755
34,431.558,2.1327,1.68817,1.68133,2.49533,0.28631,0.34349,0.25271,0.13264,0.28631,0.34349,0.28747,0.14513,2.47989,2.18833,10.3768,3.55412,0.000739531,0.000739531,0.000739531
35,440.64,2.09602,1.59739,1.66145,2.42041,0.32941,0.50556,0.31474,0.19808,0.32941,0.50556,0.42353,0.18658,1.99077,1.58076,6.58291,2.99552,0.000724062,0.000724062,0.000724062
36,450.196,1.98521,1.46166,1.65225,2.46313,0.32488,0.50825,0.34877,0.18895,0.32488,0.50825,0.46885,0.21121,2.20965,1.11523,6.16387,2.94953,0.000708594,0.000708594,0.000708594
37,459.835,2.00935,1.65921,1.60017,2.43686,0.31021,0.62692,0.35843,0.19424,0.31021,0.62692,0.47505,0.23029,2.22891,0.97408,5.17072,2.88866,0.000693125,0.000693125,0.000693125
38,469.38,1.97445,1.59091,1.62349,2.3658,0.33993,0.63706,0.40641,0.27061,0.33245,0.55832,0.55478,0.28657,1.62944,0.91737,3.22353,2.51139,0.000677656,0.000677656,0.000677656
39,479.525,1.97054,1.48019,1.55635,2.36023,0.35561,0.64375,0.47558,0.28733,0.36678,0.50847,0.52859,0.2682,1.45323,0.95001,2.5503,2.35273,0.000662188,0.000662188,0.000662188
40,489.39,1.9549,1.48508,1.5314,2.33553,0.39633,0.50947,0.46431,0.26806,0.39633,0.50947,0.48631,0.29368,1.61248,0.86929,2.38768,2.35437,0.000646719,0.000646719,0.000646719
41,499.899,2.01364,1.49516,1.5223,2.33316,0.36916,0.5119,0.49054,0.27289,0.36916,0.5119,0.50298,0.28666,1.48584,0.82982,2.12999,2.29682,0.00063125,0.00063125,0.00063125
42,509.955,1.93851,1.51059,1.5297,2.29927,0.32702,0.54684,0.40781,0.25425,0.32702,0.54684,0.57245,0.2599,1.50493,0.82542,2.40511,2.32825,0.000615781,0.000615781,0.000615781
43,521.881,1.90987,1.53504,1.45862,2.27542,0.33945,0.56596,0.39024,0.26244,0.349,0.64551,0.52024,0.28683,1.4715,0.72779,2.22195,2.30451,0.000600313,0.000600313,0.000600313
44,532.573,1.85142,1.67179,1.41151,2.19312,0.3582,0.5636,0.41583,0.25565,0.3582,0.5636,0.53972,0.3302,1.53909,0.79998,1.69596,2.25114,0.000584844,0.000584844,0.000584844
45,543.798,1.82363,1.43133,1.41036,2.20173,0.80579,0.4683,0.5202,0.27411,0.80579,0.4683,0.55132,0.333,1.50106,0.85675,1.37889,2.13681,0.000569375,0.000569375,0.000569375
46,554.573,1.65769,1.41104,1.30621,2.08921,0.40586,0.57153,0.49936,0.28287,0.40586,0.57153,0.49936,0.31494,1.66054,0.80686,1.27105,2.08349,0.000553906,0.000553906,0.000553906
47,564.083,1.793,1.31321,1.41785,2.23549,0.39441,0.58333,0.49905,0.34534,0.39441,0.58333,0.51231,0.36157,1.46416,0.75682,1.19266,2.03718,0.000538438,0.000538438,0.000538438
48,573.978,1.6816,1.17334,1.31009,2.10643,0.45763,0.58333,0.53365,0.33326,0.45763,0.58333,0.53233,0.37215,1.33567,0.76648,1.16514,2.01929,0.000522969,0.000522969,0.000522969
49,583.364,1.84893,1.37202,1.45885,2.28734,0.44867,0.54824,0.45916,0.28721,0.44867,0.54824,0.51507,0.34695,1.50989,0.68792,1.30708,2.06062,0.0005075,0.0005075,0.0005075
50,592.97,1.77716,1.42665,1.38854,2.13796,0.77093,0.49967,0.49558,0.27995,0.75417,0.61839,0.54601,0.33194,1.43285,0.61534,1.26686,2.01492,0.000492031,0.000492031,0.000492031
51,601.929,1.72155,1.44439,1.32398,2.08746,0.80987,0.5285,0.52665,0.3136,0.80987,0.5285,0.53536,0.34249,1.20467,0.64839,1.07926,1.89532,0.000476562,0.000476562,0.000476562
52,612.146,1.73235,1.36696,1.31869,2.1328,0.50861,0.5719,0.56065,0.32371,0.4598,0.57222,0.57002,0.38151,1.29146,0.65145,1.08814,1.90062,0.000461094,0.000461094,0.000461094
53,621.689,1.58631,1.3104,1.24863,2.01587,0.63484,0.53941,0.5954,0.33596,0.63484,0.53941,0.6061,0.40756,1.28921,0.65376,1.0798,1.89498,0.000445625,0.000445625,0.000445625
54,631.45,1.7184,1.35029,1.26329,2.04218,0.58911,0.48889,0.51686,0.34558,0.62662,0.57222,0.61177,0.41141,1.22683,0.66874,0.98204,1.87021,0.000430156,0.000430156,0.000430156
55,642.941,1.54782,1.17056,1.20282,1.9817,0.47749,0.5,0.51001,0.35927,0.47749,0.5,0.53703,0.36048,1.12905,0.6422,0.92095,1.82116,0.000414688,0.000414688,0.000414688
56,653.558,1.68481,1.27182,1.25842,2.07402,0.38897,0.5,0.45327,0.32503,0.38897,0.5,0.47566,0.3362,1.17204,0.64134,0.93667,1.81807,0.000399219,0.000399219,0.000399219
57,663.843,1.56414,1.15926,1.22659,1.98605,0.39145,0.5,0.52071,0.37869,0.39145,0.5,0.54282,0.3815,1.19685,0.65154,0.89101,1.77512,0.00038375,0.00038375,0.00038375
58,672.649,1.57056,1.19089,1.24087,2.03087,0.46309,0.5,0.53769,0.38028,0.44316,0.5,0.59964,0.39797,1.16867,0.63719,0.84584,1.74257,0.000368281,0.000368281,0.000368281
59,681.614,1.49161,1.08945,1.18365,1.99797,0.61416,0.52215,0.61199,0.34646,0.65168,0.84125,0.6864,0.41702,1.1343,0.61277,0.83289,1.74443,0.000352812,0.000352812,0.000352812
60,692.118,1.48463,1.17464,1.1606,1.9605,0.61552,0.50494,0.61178,0.34564,0.65231,0.91667,0.6864,0.42105,1.12692,0.60848,0.82633,1.74103,0.000337344,0.000337344,0.000337344
61,701.229,1.51789,1.2538,1.20774,2.01654,0.42069,0.58333,0.48101,0.30693,0.44341,0.91667,0.55778,0.34185,1.11471,0.59687,0.79739,1.74455,0.000321875,0.000321875,0.000321875
62,711.002,1.52414,1.26621,1.17798,1.96308,0.68342,0.58333,0.52616,0.31384,0.70561,0.66667,0.86146,0.39166,1.08669,0.57386,0.78268,1.73515,0.000306406,0.000306406,0.000306406
63,720.575,1.45935,1.13651,1.11982,1.88217,0.85308,0.48889,0.59522,0.34635,0.85308,0.48889,0.67146,0.40048,1.07596,0.58211,0.78446,1.72588,0.000290937,0.000290937,0.000290937
64,729.826,1.44063,1.27193,1.11388,1.86189,0.85342,0.48375,0.56258,0.30444,0.85342,0.48375,0.60701,0.35561,1.07892,0.59201,0.78918,1.71971,0.000275469,0.000275469,0.000275469
65,738.903,1.48066,1.11921,1.14557,1.89027,0.8598,0.48808,0.52086,0.2962,0.8598,0.48808,0.57951,0.32012,1.08145,0.59814,0.79302,1.71053,0.00026,0.00026,0.00026
66,748.181,1.40831,1.18189,1.06125,1.80994,0.74443,0.48889,0.50948,0.30356,0.79149,0.57222,0.58387,0.33485,1.08442,0.61531,0.79367,1.69923,0.000244531,0.000244531,0.000244531
67,758.32,1.49222,1.22499,1.12724,1.91024,0.80471,0.58333,0.48693,0.29773,0.83317,0.48674,0.60963,0.34518,1.08023,0.62116,0.77275,1.69077,0.000229063,0.000229063,0.000229063
68,769.877,1.43281,1.15967,1.07424,1.84971,0.83617,0.58333,0.5893,0.32794,0.83617,0.58333,0.90023,0.40518,1.0516,0.61624,0.74504,1.68621,0.000213594,0.000213594,0.000213594
69,780.83,1.40218,1.15184,1.08329,1.83809,0.78186,0.49765,0.66757,0.33466,0.78186,0.49765,0.84663,0.40578,1.01684,0.61015,0.75417,1.67853,0.000198125,0.000198125,0.000198125
70,792.743,1.47244,1.167,1.06833,1.81719,0.82233,0.48827,0.67346,0.35563,0.82233,0.48827,0.85077,0.39063,1.02422,0.59688,0.75659,1.67201,0.000182656,0.000182656,0.000182656
71,824.51,1.3995,0.97157,1.41222,1.76865,0.9182,0.48266,0.65744,0.37281,0.9182,0.48266,0.88562,0.42581,1.01632,0.58573,0.76396,1.66103,0.000167188,0.000167188,0.000167188
72,833.096,1.35229,1.07645,1.31037,1.78387,0.76797,0.47778,0.55486,0.34412,0.75553,0.66667,0.85894,0.4179,1.0662,0.58311,0.83178,1.68416,0.000151719,0.000151719,0.000151719
73,841.79,1.257,0.90167,1.11283,1.65937,0.83806,0.49515,0.60761,0.32754,0.83806,0.49515,0.90611,0.43696,1.15472,0.5907,0.91843,1.70107,0.00013625,0.00013625,0.00013625
74,851.085,1.32534,1.06511,1.15199,1.70913,0.95016,0.47541,0.59284,0.32055,0.95016,0.47541,0.89435,0.44968,1.17114,0.60878,0.96135,1.69481,0.000120781,0.000120781,0.000120781
75,859.492,1.2125,0.95379,1.08886,1.66657,0.96228,0.47939,0.62902,0.34067,0.96228,0.47939,0.89435,0.45472,1.11458,0.61843,0.94231,1.66103,0.000105312,0.000105312,0.000105312
76,868.193,1.22242,0.96283,1.08962,1.76593,0.96328,0.48552,0.89435,0.38056,0.96328,0.48552,0.89435,0.47752,1.0692,0.60783,0.88737,1.61914,8.98437e-05,8.98437e-05,8.98437e-05
77,876.262,1.24215,1.04908,1.09993,1.69515,0.95968,0.49116,0.75278,0.40433,0.95968,0.49116,0.91861,0.48849,1.04072,0.59194,0.83483,1.59361,7.4375e-05,7.4375e-05,7.4375e-05
78,885.019,1.21294,0.93165,1.05111,1.70805,0.98446,0.5465,0.77614,0.42304,0.98446,0.5465,0.94197,0.50123,1.02538,0.58094,0.79779,1.57293,5.89062e-05,5.89062e-05,5.89062e-05
79,896.21,1.18699,0.91484,1.02632,1.71444,0.90281,0.5,0.92114,0.44693,0.90281,0.5,0.92114,0.53066,1.0032,0.57342,0.76741,1.55413,4.34375e-05,4.34375e-05,4.34375e-05
80,907.306,1.1613,0.85828,1.00802,1.57733,0.89304,0.5,0.92417,0.45029,0.89304,0.5,0.92417,0.53718,0.9863,0.56881,0.7466,1.54215,2.79687e-05,2.79687e-05,2.79687e-05
